train_episode,train_steps,percent_done,env
43751,44445,0.5,3
43752,44659,1.0,8
43753,44764,1.0,0
43754,44823,1.0,0
43755,44918,1.0,1
43756,45077,1.0,1
43757,45159,1.0,1
43758,45737,0.2857142857142857,1
43759,45841,1.0,0
43760,46802,0.5,6
43761,47868,0.3,8
43762,47940,1.0,0
43763,48516,0.5,0
43764,48698,1.0,0
43765,48859,1.0,0
43766,49435,0.6666666666666666,0
43767,49500,1.0,1
43768,49647,1.0,1
43769,50223,0.6666666666666666,0
43770,50304,1.0,0
43771,50444,1.0,1
43772,50540,1.0,0
43773,51116,0.6666666666666666,0
43774,51222,1.0,1
43775,51310,1.0,0
43776,51448,1.0,0
43777,51543,1.0,0
43778,51803,1.0,0
43779,51949,1.0,1
43780,52081,1.0,0
43781,52156,1.0,0
43782,52240,1.0,1
43783,52449,1.0,0
43784,53025,0.6666666666666666,0
43785,53092,1.0,1
43786,53200,1.0,1
43787,53778,0.5714285714285714,1
43788,53844,1.0,0
43789,53998,1.0,1
43790,54051,1.0,0
43791,54193,1.0,0
43792,54259,1.0,0
43793,54339,1.0,1
43794,54488,1.0,1
43795,55066,0.14285714285714285,1
43796,55157,1.0,1
43797,55735,0.42857142857142855,1
43798,55846,1.0,0
43799,55897,1.0,1
43800,55989,1.0,1
43801,56083,1.0,0
43802,56127,1.0,1
43803,56288,1.0,0
43804,56348,1.0,0
43805,56926,0.5714285714285714,1
43806,57069,1.0,1
43807,57189,1.0,0
43808,57239,1.0,1
43809,57317,1.0,1
43810,57462,1.0,1
43811,57546,1.0,1
43812,58122,0.3333333333333333,0
43813,58195,1.0,0
43814,58308,1.0,0
43815,58426,1.0,0
43816,58549,1.0,1
43817,58648,1.0,1
43818,58738,1.0,0
43819,58840,1.0,0
43820,58898,1.0,0
43821,58997,1.0,0
43822,59063,1.0,0
43823,59188,1.0,0
43824,59764,0.6666666666666666,0
43825,60342,0.8571428571428571,1
43826,60920,0.42857142857142855,1
43827,61102,1.0,0
43828,61219,1.0,0
43829,61380,1.0,0
43830,61486,1.0,0
43831,61541,1.0,0
43832,61646,1.0,1
43833,61752,1.0,0
43834,61829,1.0,0
43835,61934,1.0,0
43836,62080,1.0,1
43837,62186,1.0,0
43838,62255,1.0,1
43839,62833,0.5714285714285714,1
43840,62899,1.0,0
43841,62978,1.0,1
43842,63556,0.5714285714285714,1
43843,64134,0.5714285714285714,1
43844,64712,0.2857142857142857,1
43845,64810,1.0,1
43846,64883,1.0,0
43847,65044,1.0,1
43848,65622,0.8571428571428571,1
43849,65701,1.0,1
43850,65753,1.0,1
43851,65892,1.0,0
43852,65959,1.0,1
43853,66070,1.0,0
43854,66211,1.0,0
43855,66317,1.0,1
43856,66420,1.0,1
43857,66502,1.0,0
43858,66648,1.0,1
43859,66738,1.0,1
43860,66871,1.0,1
43861,67449,0.42857142857142855,1
43862,68025,0.3333333333333333,0
43863,68186,1.0,0
43864,68279,1.0,0
43865,68340,1.0,1
43866,68452,1.0,0
43867,68539,1.0,0
43868,68641,1.0,1
43869,68702,1.0,1
43870,68850,1.0,1
43871,69428,0.0,1
43872,69572,1.0,0
43873,70148,0.6666666666666666,0
43874,70253,1.0,0
43875,70831,0.8571428571428571,1
43876,70978,1.0,1
43877,71125,1.0,1
43878,71209,1.0,1
43879,71785,0.5,0
43880,72361,0.5,0
43881,72436,1.0,1
43882,72525,1.0,1
43883,72712,1.0,1
43884,72781,1.0,1
43885,72861,1.0,1
43886,72942,1.0,1
43887,73031,1.0,0
43888,73104,1.0,0
43889,73680,0.8333333333333334,0
43890,73739,1.0,1
43891,73881,1.0,0
43892,73988,1.0,1
43893,74033,1.0,0
43894,74122,1.0,1
43895,74227,1.0,0
43896,74321,1.0,1
43897,74897,0.6666666666666666,0
43898,74982,1.0,1
43899,75560,0.2857142857142857,1
43900,75630,1.0,0
43901,75779,1.0,1
43902,75851,1.0,0
43903,75934,1.0,0
43904,76077,1.0,0
43905,76184,1.0,1
43906,76762,0.5714285714285714,1
43907,76837,1.0,0
43908,76983,1.0,1
43909,77063,1.0,1
43910,77168,1.0,0
43911,77272,1.0,0
43912,77405,1.0,1
43913,77491,1.0,0
43914,77587,1.0,0
43915,77706,1.0,1
43916,77793,1.0,0
43917,77938,1.0,0
43918,78516,0.42857142857142855,1
43919,78660,1.0,1
43920,79238,0.5714285714285714,1
43921,79816,0.42857142857142855,1
43922,79946,1.0,1
43923,80020,1.0,0
43924,80184,1.0,0
43925,80237,1.0,1
43926,80352,1.0,0
43927,80463,1.0,1
43928,80544,1.0,1
43929,81122,0.5714285714285714,1
43930,81202,1.0,1
43931,81307,1.0,0
43932,81367,1.0,0
43933,81945,0.42857142857142855,1
43934,82023,1.0,1
43935,82168,1.0,1
43936,82254,1.0,1
43937,82358,1.0,0
43938,82433,1.0,0
43939,82505,1.0,1
43940,82666,1.0,0
43941,82821,1.0,0
43942,82967,1.0,1
43943,83050,1.0,1
43944,83179,1.0,1
43945,83755,0.8333333333333334,0
43946,83791,1.0,1
43947,83881,1.0,1
43948,84457,0.5,0
43949,84539,1.0,1
43950,84685,1.0,1
43951,84757,1.0,0
43952,84837,1.0,0
43953,84946,1.0,0
43954,85055,1.0,1
43955,85195,1.0,0
43956,85271,1.0,1
43957,85379,1.0,0
43958,85492,1.0,1
43959,85572,1.0,0
43960,85646,1.0,0
43961,85795,1.0,1
43962,85876,1.0,1
43963,85935,1.0,0
43964,86012,1.0,0
43965,86125,1.0,1
43966,86197,1.0,0
43967,86271,1.0,1
43968,86415,1.0,1
43969,86474,1.0,1
43970,86579,1.0,0
43971,86636,1.0,0
43972,86798,1.0,0
43973,87376,0.7142857142857143,1
43974,87954,0.42857142857142855,1
43975,88028,1.0,0
43976,88100,1.0,1
43977,88244,1.0,1
43978,88357,1.0,0
43979,88455,1.0,0
43980,88528,1.0,1
43981,88673,1.0,0
43982,88763,1.0,0
43983,88823,1.0,0
43984,88909,1.0,1
43985,89009,1.0,0
43986,89218,1.0,0
43987,89794,0.8333333333333334,0
43988,89870,1.0,1
43989,89947,1.0,0
43990,90033,1.0,0
43991,90139,1.0,0
43992,90213,1.0,0
43993,90368,1.0,0
43994,90514,1.0,1
43995,90596,1.0,1
43996,90782,1.0,0
43997,90861,1.0,1
43998,91086,1.0,1
43999,91247,1.0,0
44000,91342,1.0,0
44001,91397,1.0,1
44002,91502,1.0,1
44003,91561,1.0,0
44004,91708,1.0,1
44005,91813,1.0,0
44006,91884,1.0,0
44007,92462,0.7142857142857143,1
44008,93040,0.14285714285714285,1
44009,93143,1.0,0
44010,93283,1.0,0
44011,93353,1.0,0
44012,93406,1.0,1
44013,93485,1.0,0
44014,93522,1.0,1
44015,93670,1.0,1
44016,93820,1.0,1
44017,93891,1.0,1
44018,93986,1.0,1
44019,94109,1.0,1
44020,94205,1.0,1
44021,94302,1.0,1
44022,94444,1.0,0
44023,94515,1.0,0
44024,94656,1.0,1
44025,94735,1.0,0
44026,94796,1.0,0
44027,94901,1.0,0
44028,95006,1.0,1
44029,95092,1.0,1
44030,95241,1.0,1
44031,95323,1.0,0
44032,95385,1.0,0
44033,95497,1.0,0
44034,95576,1.0,1
44035,95720,1.0,0
44036,96298,0.5714285714285714,1
44037,96356,1.0,0
44038,96500,1.0,1
44039,96573,1.0,0
44040,97151,0.14285714285714285,1
44041,97217,1.0,0
44042,97379,1.0,0
44043,97506,1.0,1
44044,97556,1.0,1
44045,97637,1.0,1
44046,97730,1.0,0
44047,97791,1.0,0
44048,97880,1.0,1
44049,98026,1.0,1
44050,98077,1.0,0
44051,98187,1.0,0
44052,98245,1.0,1
44053,98821,0.6666666666666666,0
44054,98881,1.0,0
44055,98989,1.0,1
44056,99088,1.0,0
44057,99203,1.0,3
44058,99286,1.0,2
44059,99450,1.0,2
44060,99599,1.0,3
44061,99693,1.0,2
44062,99838,1.0,1
44063,99944,1.0,1
44064,100644,0.7,3
44065,100793,1.0,3
44066,100950,1.0,3
44067,101650,0.6,3
44068,101786,1.0,3
44069,101907,1.0,3
44070,102568,0.75,2
44071,102703,1.0,3
44072,102869,1.0,2
44073,102974,1.0,1
44074,103123,1.0,3
44075,103784,0.75,2
44076,104445,0.625,2
44077,105023,0.2857142857142857,1
44078,105116,1.0,3
44079,105246,1.0,3
44080,105402,1.0,3
44081,105500,1.0,3
44082,105626,1.0,1
44083,105751,1.0,3
44084,105855,1.0,3
44085,106012,1.0,2
44086,106129,1.0,3
44087,106231,1.0,2
44088,106360,1.0,3
44089,106420,1.0,1
44090,106564,1.0,1
44091,107264,0.8,3
44092,107964,0.3,3
44093,108121,1.0,3
44094,108226,1.0,1
44095,108887,0.625,2
44096,109025,1.0,1
44097,109147,1.0,3
44098,109294,1.0,3
44099,109404,1.0,3
44100,109567,1.0,2
44101,109676,1.0,3
44102,110337,0.75,2
44103,110494,1.0,3
44104,110599,1.0,1
44105,111299,0.3,3
44106,111426,1.0,1
44107,111551,1.0,2
44108,111673,1.0,3
44109,111770,1.0,3
44110,111907,1.0,3
44111,112103,1.0,3
44112,112803,0.8,3
44113,113464,0.75,2
44114,113611,1.0,1
44115,114311,0.8,3
44116,114404,1.0,3
44117,115104,0.7,3
44118,115804,0.8,3
44119,115914,1.0,3
44120,116010,1.0,2
44121,116710,0.6,3
44122,116876,1.0,2
44123,117537,0.75,2
44124,117693,1.0,3
44125,118393,0.3,3
44126,119093,0.6,3
44127,119259,1.0,2
44128,119370,1.0,1
44129,119465,1.0,2
44130,119548,1.0,1
44131,120209,0.375,2
44132,120301,1.0,3
44133,120467,1.0,3
44134,121167,0.6,3
