train_episode,train_steps,rel_skill,env
45251,45385,,0
45252,45496,,3
45253,45653,,3
45254,45796,,1
45255,45880,,1
45256,46003,,1
45257,46063,,0
45258,46195,,1
45259,46295,,1
45260,46584,,12
45261,46691,,0
45262,46814,,1
45263,46881,,0
45264,46984,,1
45265,47146,,0
45266,47722,,0
45267,47896,0.9083475759897539,1
45268,48474,,1
45269,48525,,0
45270,49103,,1
45271,49291,0.9118594498358399,1
45272,49362,,0
45273,49486,0.9150154247038709,1
45274,49614,0.9178677119752846,1
45275,49694,,0
45276,50272,0.8858809314599194,1
45277,50380,0.9474990556301883,0
45278,50470,0.9496900873985452,0
45279,50562,0.8889435715080315,1
45280,50704,0.9516315987271736,0
45281,50796,0.953366908738461,0
45282,50930,0.8917910449641354,1
45283,51013,0.9549296515547617,0
45284,51591,0.8942802829424459,1
45285,51682,0.8988286656235058,1
45286,51831,0.8966224674684521,1
45287,51961,0.9563463683527951,0
45288,52102,0.9576382858154553,0
45289,52255,0.9588225678280994,0
45290,52378,0.9599132881508723,0
45291,52954,0.9008515007030838,0
45292,53025,0.9609220875592577,0
45293,53601,0.9276093095420749,0
45294,53744,0.900909495964455,1
45295,53805,0.9028749094767943,1
45296,53909,0.9027929442314966,0
45297,54031,0.9047341374206516,1
45298,54090,0.9046286820083381,0
45299,54231,0.9063674863384311,0
45300,54409,0.9080172116159863,0
45301,54524,0.9064955557303583,1
45302,54584,0.9081668519072869,1
45303,54704,0.9095849299250341,0
45304,54812,0.9097549728658386,1
45305,54922,0.911076983193437,0
45306,54993,0.9125511267741107,0
45307,55569,0.911218779521329,0
45308,55662,0.9138270746782889,0
45309,56238,0.9080062488426587,0
45310,56317,0.9092185792829696,0
45311,56446,0.9112662292414689,1
45312,56526,0.9103864223510236,0
45313,56617,0.9115122501469906,0
45314,57195,0.9101508739711163,1
45315,57339,0.9115025807931613,1
45316,57447,0.9125983470165976,0
45317,58023,0.9039314871755952,0
45318,58147,0.9127979195590104,1
45319,58208,0.9050111795325255,0
45320,58348,0.9060572429825025,0
45321,58455,0.914040441956882,1
45322,58557,0.9163797840892329,1
45323,59135,0.917856488431897,1
45324,59213,0.9152333919663247,1
45325,59357,0.917482424211454,1
45326,59432,0.9188592431902888,1
45327,59579,0.9198275867315469,1
45328,59716,0.9070712525766891,0
45329,59775,0.9080546686274222,0
45330,59925,0.9147258134750991,1
45331,60503,0.9138274345409718,1
45332,60559,0.9155986265125319,1
45333,61137,0.9132806518789075,1
45334,61713,0.9083439147781098,0
45335,61876,0.9164469271643133,1
45336,62001,0.9172716959258692,1
45337,62059,0.9180738976464222,1
45338,62196,0.9092524480983782,0
45339,62254,0.9109954247494332,0
45340,62832,0.9171769581630268,1
45341,62937,0.9101359370620725,0
45342,63028,0.917927151902789,1
45343,63172,0.9186587005832524,1
45344,63253,0.9118318812250837,0
45345,63371,0.9193722822065734,1
45346,63514,0.9126462452612408,0
45347,63572,0.9134393982607074,0
45348,63698,0.9191868851246289,1
45349,64276,0.9185157047130837,1
45350,64334,0.9198429878112977,1
45351,64395,0.9142121799030775,0
45352,64504,0.9149654090063395,0
45353,64578,0.915699847019069,0
45354,64722,0.9204845134516056,1
45355,65300,0.9180311000641549,1
45356,65878,0.9173778241249378,1
45357,65988,0.9133774236482188,0
45358,66128,0.9126790449194029,0
45359,66704,0.9119643419848235,0
45360,66790,0.9179722859847949,1
45361,66884,0.9185554877934561,1
45362,67460,0.913464630371725,0
45363,68036,0.9135743311206171,0
45364,68094,0.9130408894548286,0
45365,68670,0.9124247158797657,0
45366,68817,0.919127711182586,1
45367,68877,0.9136452866539765,0
45368,68988,0.91423821518588,0
45369,69566,0.919421374778092,1
45370,69686,0.9148199879746116,0
45371,70264,0.9193346478714965,1
45372,70456,0.91996118966415,1
45373,70530,0.915390907513441,0
45374,70669,0.9148239673257291,0
45375,71245,0.9142774767261321,0
45376,71320,0.9117390783760874,0
45377,71896,0.9137999910998446,0
45378,72472,0.9112209491282293,0
45379,72617,0.9122493010757227,0
45380,73193,0.9098969673789764,0
45381,73320,0.9198473113788945,1
45382,73378,0.9203515728749553,1
45383,73463,0.910393546589066,0
45384,73554,0.9108830537151252,0
45385,73662,0.9113656452191898,0
45386,73749,0.9118414045476794,0
45387,74327,0.9184198091311744,1
45388,74905,0.918736055413887,1
45389,74967,0.9127729325718494,0
45390,75064,0.9123104568702225,0
45391,75208,0.9192048417509688,1
45392,75266,0.9196669315129068,1
45393,75371,0.9132289255297815,0
45394,75485,0.9201224342231259,1
45395,76063,0.9196096298998955,1
45396,76641,0.9198958876256941,1
45397,76776,0.9203152945441913,1
45398,76851,0.9141219273852692,0
45399,76992,0.9136785556982469,0
45400,77077,0.9207294547690785,1
45401,77174,0.9211384152389671,1
45402,77279,0.9215422228924676,1
45403,77334,0.9219409298835922,1
45404,77910,0.9137487915062402,0
45405,78029,0.9145591814066809,0
45406,78103,0.9141708739255541,0
45407,78169,0.9223345779355504,1
45408,78303,0.9227232452793602,1
45409,78442,0.914587443665797,0
45410,78558,0.9231069736382314,1
