train_episode,train_steps,time,env
45251,45385,1776926426.620234,0
45252,45496,1776926427.164625,3
45253,45653,1776926427.9083228,3
45254,45796,1776926429.219625,1
45255,45880,1776926429.4963336,1
45256,46003,1776926430.0100067,1
45257,46063,1776926430.9869647,0
45258,46195,1776926432.4332023,1
45259,46295,1776926469.3606265,1
45260,46584,1776926471.4610295,12
45261,46691,1776926471.6938674,0
45262,46814,1776926472.0922513,1
45263,46881,1776926472.3018482,0
45264,46984,1776926473.6388834,1
45265,47146,1776926474.9048707,0
45266,47722,1776926476.1506484,0
45267,47896,1776926526.8152142,1
45268,48474,1776926528.348868,1
45269,48525,1776926528.5049658,0
45270,49103,1776926529.2187517,1
45271,49291,1776926529.705481,1
45272,49362,1776926530.0707164,0
45273,49486,1776926530.8069923,1
45274,49614,1776926531.3624325,1
45275,49694,1776926577.4535913,0
45276,50272,1776926578.2906876,1
45277,50380,1776926578.6040106,0
45278,50470,1776926579.264411,0
45279,50562,1776926579.5022187,1
45280,50704,1776926580.577724,0
45281,50796,1776926580.8452713,0
45282,50930,1776926581.2247496,1
45283,51013,1776926608.0865035,0
45284,51591,1776926609.5525851,1
45285,51682,1776926609.7853513,1
45286,51831,1776926610.1180823,1
45287,51961,1776926610.4108045,0
45288,52102,1776926612.220064,0
45289,52255,1776926612.7835238,0
45290,52378,1776926614.131889,0
45291,52954,1776926656.1002476,0
45292,53025,1776926656.2975245,0
45293,53601,1776926657.1333592,0
45294,53744,1776926657.4808037,1
45295,53805,1776926657.719593,1
45296,53909,1776926658.552936,0
45297,54031,1776926659.1428838,1
45298,54090,1776926659.2997916,0
45299,54231,1776926694.4290452,0
45300,54409,1776926694.7847168,0
45301,54524,1776926695.3099613,1
45302,54584,1776926695.687354,1
45303,54704,1776926696.476237,0
45304,54812,1776926696.991587,1
45305,54922,1776926697.2778206,0
45306,54993,1776926698.7365675,0
45307,55569,1776926724.095799,0
45308,55662,1776926724.369534,0
45309,56238,1776926725.2623334,0
45310,56317,1776926725.5089288,0
45311,56446,1776926726.3165233,1
45312,56526,1776926726.972144,0
45313,56617,1776926727.2337596,0
45314,57195,1776926728.688685,1
45315,57339,1776926781.4753203,1
45316,57447,1776926781.7339568,0
45317,58023,1776926783.795577,0
45318,58147,1776926784.128226,1
45319,58208,1776926784.2839534,0
45320,58348,1776926784.5470169,0
45321,58455,1776926785.9341567,1
45322,58557,1776926786.2228656,1
45323,59135,1776926829.8205802,1
45324,59213,1776926830.2258775,1
45325,59357,1776926830.6387131,1
45326,59432,1776926831.75616,1
45327,59579,1776926832.8416932,1
45328,59716,1776926833.087679,0
45329,59775,1776926833.2729583,0
45330,59925,1776926835.9866993,1
45331,60503,1776926881.0169115,1
45332,60559,1776926881.2177918,1
45333,61137,1776926882.7416546,1
45334,61713,1776926884.0068498,0
45335,61876,1776926884.7225852,1
45336,62001,1776926885.2424462,1
45337,62059,1776926885.6306639,1
45338,62196,1776926886.7511015,0
45339,62254,1776926950.564467,0
45340,62832,1776926952.21393,1
45341,62937,1776926952.6290164,0
45342,63028,1776926952.8986967,1
45343,63172,1776926953.3039913,1
45344,63253,1776926954.1270695,0
45345,63371,1776926955.1310337,1
45346,63514,1776926955.7338638,0
45347,63572,1776926994.071459,0
45348,63698,1776926994.521038,1
45349,64276,1776926995.6788828,1
45350,64334,1776926996.007381,1
45351,64395,1776926996.165447,0
45352,64504,1776926996.3964565,0
45353,64578,1776926997.5359879,0
45354,64722,1776926998.8264802,1
45355,65300,1776927032.4717734,1
45356,65878,1776927034.7153416,1
45357,65988,1776927035.0988367,0
45358,66128,1776927035.3719664,0
45359,66704,1776927036.3634486,0
45360,66790,1776927036.6048105,1
45361,66884,1776927038.9808056,1
45362,67460,1776927040.3294327,0
45363,68036,1776927114.7609189,0
45364,68094,1776927114.9612339,0
45365,68670,1776927116.3734028,0
45366,68817,1776927116.7326078,1
45367,68877,1776927116.9346833,0
45368,68988,1776927118.511212,0
45369,69566,1776927120.0435112,1
45370,69686,1776927120.266914,0
45371,70264,1776927179.2791977,1
45372,70456,1776927179.996561,1
45373,70530,1776927180.2311518,0
45374,70669,1776927182.0929832,0
45375,71245,1776927183.2310011,0
45376,71320,1776927183.4520104,0
45377,71896,1776927184.1970804,0
45378,72472,1776927185.451443,0
45379,72617,1776927244.7641768,0
45380,73193,1776927245.7321575,0
45381,73320,1776927246.1130798,1
45382,73378,1776927246.3369246,1
45383,73463,1776927246.5630062,0
45384,73554,1776927247.133326,0
45385,73662,1776927247.9640682,0
45386,73749,1776927249.0839033,0
45387,74327,1776927279.9222713,1
45388,74905,1776927281.3442988,1
45389,74967,1776927281.4978604,0
45390,75064,1776927281.8895168,0
45391,75208,1776927282.2367935,1
45392,75266,1776927282.8929312,1
45393,75371,1776927283.3706486,0
45394,75485,1776927283.9033442,1
45395,76063,1776927327.1496232,1
45396,76641,1776927328.6478271,1
45397,76776,1776927329.0670664,1
45398,76851,1776927329.256987,0
45399,76992,1776927329.7243125,0
45400,77077,1776927330.0552917,1
45401,77174,1776927330.6876252,1
45402,77279,1776927331.2268856,1
45403,77334,1776927380.7231226,1
45404,77910,1776927381.7603447,0
45405,78029,1776927382.1202285,0
45406,78103,1776927382.3352165,0
45407,78169,1776927382.5143485,1
45408,78303,1776927384.0319464,1
45409,78442,1776927384.3181565,0
45410,78558,1776927385.2149243,1
45411,78640,1776927415.6718247,1
45412,79216,1776927416.88368,0
45413,79262,1776927417.0491912,0
45414,79359,1776927417.5181348,1
45415,79420,1776927418.8469245,0
45416,79546,1776927419.413076,1
45417,79693,1776927419.8311872,1
45418,79775,1776927421.3559566,1
45419,79917,1776927453.771759,1
45420,80495,1776927455.356493,1
45421,80552,1776927455.5719652,1
45422,81128,1776927456.441335,0
45423,81273,1776927456.9577453,0
45424,81378,1776927457.244443,0
45425,81448,1776927457.4932377,1
45426,81507,1776927457.828023,1
45427,81587,1776927504.220451,0
45428,81733,1776927504.5819747,1
45429,81828,1776927504.8649828,0
45430,81886,1776927505.4169326,0
45431,81938,1776927506.0733902,0
45432,82052,1776927506.4072978,1
45433,82197,1776927506.8762393,0
45434,82307,1776927508.1229978,0
45435,82451,1776927531.6962433,1
45436,83029,1776927533.2513077,1
45437,83157,1776927533.7060175,1
45438,83297,1776927533.9599483,0
45439,83873,1776927535.4604611,0
45440,83964,1776927535.6767917,0
45441,84069,1776927535.9555352,0
45442,84647,1776927538.1153867,1
45443,84727,1776927602.041733,0
45444,84872,1776927602.4132962,0
45445,84932,1776927602.5992951,0
45446,84998,1776927603.6437027,1
45447,85092,1776927603.967863,0
45448,85162,1776927604.1231074,0
45449,85305,1776927604.8051789,0
45450,85380,1776927605.3835094,0
45451,85481,1776927625.4738095,0
45452,85560,1776927625.8110416,0
45453,86136,1776927626.9131444,0
45454,86240,1776927627.3859715,1
45455,86364,1776927627.750154,1
45456,86511,1776927628.4540505,1
45457,86572,1776927628.6507683,1
45458,86648,1776927629.2031457,0
45459,86752,1776927660.4388447,0
45460,87330,1776927661.7343073,1
45461,87472,1776927662.1078038,1
45462,87598,1776927662.4819722,0
45463,87735,1776927662.925873,1
45464,87794,1776927663.1020753,0
45465,87867,1776927663.5645142,1
45466,87945,1776927664.2237425,0
45467,88521,1776927700.696339,0
45468,89099,1776927701.875444,1
45469,89167,1776927702.0684886,1
45470,89237,1776927702.2445862,0
45471,89351,1776927702.5287178,0
45472,89449,1776927703.8498063,1
45473,89508,1776927704.1071627,1
45474,89666,1776927704.6848617,0
45475,90244,1776927751.0902889,1
45476,90400,1776927751.5726974,0
45477,90503,1776927751.8642306,1
45478,90562,1776927752.1578457,1
45479,90637,1776927752.7981603,1
45480,90766,1776927753.5083573,1
45481,90855,1776927754.0918658,1
45482,90914,1776927754.2357938,0
45483,91044,1776927794.316459,0
45484,91137,1776927794.529645,1
45485,91242,1776927794.830505,0
45486,91314,1776927795.5377696,1
45487,91387,1776927795.721707,0
45488,91468,1776927796.2547739,0
45489,91610,1776927796.917753,0
45490,91675,1776927797.1795385,0
45491,91735,1776927817.4955444,0
45492,92313,1776927819.1153681,1
45493,92438,1776927819.4620314,1
45494,92596,1776927819.867543,0
45495,92709,1776927820.1132183,0
45496,92821,1776927821.8357522,1
45497,92929,1776927822.1825593,0
45498,93505,1776927824.4339902,0
45499,94083,1776927878.0079467,1
45500,94177,1776927878.2311532,0
45501,94280,1776927878.5572739,0
45502,94352,1776927878.7831702,1
45503,94412,1776927879.29351,0
45504,94540,1776927880.8059647,1
45505,94598,1776927881.0583835,1
45506,94741,1776927881.4397733,1
45507,94800,1776927918.8812656,0
45508,94884,1776927919.1135497,0
45509,95030,1776927919.6100547,1
45510,95093,1776927920.3878286,0
45511,95224,1776927921.1707132,1
45512,95314,1776927922.1618345,0
45513,95452,1776927923.4764104,0
45514,95516,1776927923.6526818,0
45515,96094,1776927947.1225083,1
45516,96239,1776927947.4561613,1
45517,96817,1776927948.7990415,1
45518,96877,1776927948.9722471,1
45519,97020,1776927949.6816509,0
45520,97129,1776927950.5120537,0
45521,97243,1776927950.9258387,0
45522,97821,1776927952.6034,1
45523,97939,1776928019.109086,1
45524,98083,1776928019.5710135,1
45525,98205,1776928019.8864248,0
45526,98266,1776928020.218039,1
45527,98380,1776928021.2478807,1
45528,98447,1776928021.4736433,0
45529,98535,1776928022.0399182,1
45530,99111,1776928023.05198,0
45531,99251,1776928054.7661207,0
45532,99310,1776928054.8949244,0
45533,99386,1776928055.1184752,0
45534,99513,1776928056.3603904,1
45535,99570,1776928056.5731242,1
45536,99642,1776928056.7246904,0
45537,99747,1776928057.5159276,1
45538,99851,1776928057.8925788,0
45539,99965,1776928079.7334216,0
45540,100543,1776928081.0854878,1
45541,100615,1776928081.3036857,0
45542,100698,1776928081.6012828,2
45543,100864,1776928082.70069,2
45544,100998,1776928083.928866,1
45545,101128,1776928084.3972735,1
45546,101199,1776928085.685462,0
45547,101777,1776928131.9809153,1
45548,102438,1776928133.7552578,2
45549,102496,1776928134.0627582,0
45550,102624,1776928134.403755,2
45551,102726,1776928134.7291484,1
45552,102864,1776928135.8771265,0
45553,102958,1776928136.2618954,2
45554,103047,1776928136.7541294,2
45555,103209,1776928191.5101728,2
45556,103787,1776928193.2510808,1
45557,103915,1776928193.645195,1
45558,104038,1776928193.9954166,1
45559,104114,1776928195.5285113,0
45560,104222,1776928195.8754704,0
45561,104346,1776928197.2238545,0
45562,104483,1776928198.8421776,0
45563,104589,1776928244.709212,1
45564,105167,1776928246.4119186,1
45565,105293,1776928246.805067,1
45566,105954,1776928249.9121048,2
45567,106174,1776928250.7944329,2
45568,106752,1776928251.5984826,1
45569,106857,1776928251.8516316,0
45570,106995,1776928252.1496687,0
45571,107119,1776928333.4940495,1
45572,107780,1776928335.1537268,2
45573,107875,1776928335.4476974,2
45574,108019,1776928335.790964,1
45575,108597,1776928337.7923424,1
45576,108678,1776928338.0428984,2
45577,108861,1776928339.0298598,3
45578,108995,1776928339.4274087,3
45579,109656,1776928398.7462838,2
45580,109766,1776928399.22692,3
45581,110427,1776928401.146027,2
45582,110533,1776928401.408784,2
45583,110696,1776928401.9009585,2
45584,110815,1776928402.5528243,3
45585,110873,1776928403.9140713,1
45586,110965,1776928405.9396524,2
45587,111626,1776928470.127696,2
45588,112300,1776928472.6427016,3
45589,112459,1776928473.1202216,2
45590,113133,1776928475.3544354,3
45591,113218,1776928475.6731644,2
45592,113383,1776928476.5114083,2
45593,114044,1776928479.9230962,2
45594,114188,1776928480.341909,1
45595,114294,1776928596.6801615,1
45596,114427,1776928597.116059,1
45597,114671,1776928598.1461363,2
45598,114756,1776928598.5763268,1
45599,114841,1776928600.3896515,1
45600,115502,1776928603.7508264,2
45601,115628,1776928604.165845,2
45602,116302,1776928606.7965255,3
45603,116963,1776928678.069907,2
45604,117637,1776928680.999899,3
45605,117800,1776928681.4589584,2
45606,118461,1776928684.4360044,2
45607,118545,1776928684.7529974,3
45608,119206,1776928686.8284755,2
45609,119352,1776928687.7201693,2
45610,120013,1776928689.9389584,2
45611,120196,1776928844.1286383,3
45612,120339,1776928844.570705,2
45613,120464,1776928844.9610431,1
45614,120607,1776928846.050914,1
45615,120689,1776928847.046694,2
45616,120845,1776928847.7723837,3
45617,120968,1776928849.3154523,1
45618,121103,1776928849.776111,3
45619,121777,1776928893.0057874,3
45620,122451,1776928896.5198534,3
45621,122574,1776928896.859046,2
45622,122678,1776928897.1612248,1
45623,123352,1776928901.6410992,3
45624,123454,1776928902.0388632,2
45625,123638,1776928903.1258166,3
45626,123696,1776928903.4422262,1
45627,124357,1776929016.1848414,2
45628,124490,1776929016.6172006,1
45629,124652,1776929017.114794,2
45630,124770,1776929018.3158782,1
45631,124856,1776929018.7631285,1
45632,125530,1776929021.658049,3
45633,125661,1776929022.0908,3
45634,125784,1776929022.684038,2
45635,125842,1776929102.0972662,1
45636,126516,1776929104.729948,3
45637,126607,1776929105.093031,3
45638,126754,1776929105.5059457,1
45639,126891,1776929108.5674734,3
45640,127552,1776929112.0488183,2
45641,128213,1776929113.7095644,2
45642,128380,1776929114.2994199,2
45643,128468,1776929206.45378,2
45644,129142,1776929209.6535213,3
45645,129301,1776929210.1559281,2
45646,129962,1776929212.5913265,2
45647,130623,1776929215.1889644,2
