train_episode,train_steps,reward,env
56501,56676,-1705.0,10
56502,56901,-1791.0,11
56503,57187,-1890.0,9
56504,57608,-2625.0,10
56505,57895,-1792.0,9
56506,58856,-7923.0,10
56507,59851,-9581.0,11
56508,60779,-5003.0,9
56509,61009,-2099.0,9
56510,62004,-9710.0,11
56511,62999,-8439.0,11
56512,63186,-1560.0,9
56513,64181,-6588.0,11
56514,65109,-7298.0,9
56515,66037,-12225.0,9
56516,67032,-4309.0,11
56517,67993,-5965.0,10
56518,68921,-5892.0,9
56519,69106,-1348.0,9
56520,70034,-10706.0,9
56521,70995,-10291.0,10
56522,71956,-4633.0,10
56523,72884,-8042.0,9
56524,73812,-2967.0,9
56525,74101,-2465.0,9
56526,75029,-5092.0,9
56527,75990,-4184.0,10
56528,76918,-5392.0,9
56529,77102,-1535.0,10
56530,77393,-2292.0,10
56531,78321,-7770.0,9
56532,79282,-3844.0,10
56533,79523,-1909.0,9
56534,79729,-1795.0,10
56535,80690,-9330.0,10
56536,81651,-4785.0,10
56537,81864,-1488.0,9
56538,82825,-7837.0,10
56539,83048,-1956.0,10
56540,83976,-7625.0,9
56541,84971,-15992.0,11
56542,85899,-7933.0,9
56543,86192,-1794.0,9
56544,86505,-1991.0,9
56545,86785,-2085.0,10
56546,87098,-2387.0,10
56547,88059,-13683.0,10
56548,89020,-8169.0,10
56549,89981,-9200.0,10
56550,90942,-4988.0,10
56551,91903,-6478.0,10
56552,92341,-2816.0,9
56553,93302,-10248.0,10
56554,94230,-6566.0,9
56555,94465,-2068.0,9
56556,95426,-10927.0,10
56557,96387,-3426.0,10
56558,97348,-3676.0,10
56559,98276,-5853.0,9
56560,98466,-1733.0,9
56561,99427,-10165.0,10
56562,100355,-7091.0,9
56563,101283,-8982.0,9
56564,102244,-10207.0,10
56565,102458,-1735.0,9
56566,103419,-10932.0,10
56567,104380,-8894.0,10
56568,104630,-2009.0,10
56569,105558,-8749.0,9
56570,106486,-4789.0,9
56571,107447,-10337.0,10
56572,107703,-2250.0,10
56573,108075,-2094.0,10
56574,108280,-1396.0,9
56575,108543,-1869.0,10
56576,108710,-1419.0,10
56577,108972,-1941.0,9
56578,109900,-10570.0,9
56579,110175,-2118.0,10
56580,111136,-11047.0,10
56581,112097,-6607.0,10
56582,113058,-3376.0,10
56583,113323,-2448.0,10
56584,114251,-4251.0,9
56585,114475,-1857.0,9
56586,114725,-2323.0,10
56587,115686,-12778.0,10
56588,116647,-9564.0,10
56589,117608,-3525.0,10
56590,117843,-1911.0,10
56591,118138,-2579.0,10
56592,118431,-2191.0,9
56593,119359,-7190.0,9
56594,120320,-6537.0,10
56595,121248,-9130.0,9
56596,122209,-7650.0,10
56597,122403,-1579.0,9
56598,123331,-10298.0,9
56599,124292,-5236.0,10
56600,124467,-1496.0,9
56601,125395,-10604.0,9
56602,125672,-1986.0,9
56603,126600,-6719.0,9
56604,126892,-2010.0,9
56605,127853,-7617.0,10
56606,128814,-9235.0,10
56607,129095,-1661.0,9
56608,129342,-1956.0,9
56609,130303,-10923.0,10
56610,131264,-6887.0,10
56611,131553,-2540.0,10
56612,132514,-14465.0,10
56613,133442,-8103.0,9
56614,133694,-1615.0,10
56615,133912,-1882.0,10
56616,134167,-2194.0,10
56617,134473,-2540.0,9
56618,134733,-2227.0,9
56619,135694,-10296.0,10
56620,136622,-8218.0,9
56621,137583,-6660.0,10
56622,138511,-7355.0,9
56623,139472,-6328.0,10
56624,140433,-5767.0,10
56625,140677,-1778.0,10
56626,141638,-14458.0,10
56627,142599,-7612.0,10
56628,143560,-7047.0,10
56629,144521,-6632.0,10
56630,145482,-7147.0,10
56631,145760,-2060.0,9
56632,146007,-1520.0,9
56633,146535,-3015.0,10
56634,146796,-2111.0,10
56635,147757,-10087.0,10
56636,148135,-2892.0,9
56637,149063,-3915.0,9
56638,150024,-4289.0,10
56639,150952,-8051.0,9
56640,151880,-7245.0,9
56641,152808,-3038.0,9
56642,152991,-1799.0,9
56643,153919,-3832.0,9
56644,154880,-7681.0,10
56645,155043,-1508.0,9
56646,155361,-1882.0,10
56647,155518,-1452.0,10
56648,156479,-14569.0,10
56649,157440,-3615.0,10
56650,157666,-1427.0,9
56651,158627,-5567.0,10
56652,158813,-1332.0,9
56653,159058,-2199.0,10
56654,159345,-2087.0,9
56655,160273,-3298.0,9
56656,161234,-8345.0,10
56657,161492,-1860.0,10
56658,162420,-3135.0,9
56659,163381,-7901.0,10
56660,164309,-3254.0,9
56661,164560,-1789.0,9
56662,165488,-5559.0,9
56663,166449,-5978.0,10
56664,167410,-5668.0,10
56665,168338,-3981.0,9
56666,169266,-8887.0,9
56667,169543,-1917.0,10
56668,170504,-6651.0,10
56669,170935,-2484.0,10
56670,171163,-1879.0,10
56671,171459,-2521.0,9
56672,171735,-2433.0,10
56673,172663,-13011.0,9
56674,172911,-1823.0,9
56675,173872,-10894.0,10
56676,174800,-7207.0,9
56677,175761,-11931.0,10
56678,176722,-8405.0,10
56679,176986,-1911.0,9
56680,177947,-11762.0,10
56681,178238,-1994.0,10
56682,179199,-13728.0,10
56683,180160,-9219.0,10
56684,180341,-1458.0,10
56685,180518,-1613.0,9
56686,181479,-4936.0,10
56687,182407,-5889.0,9
56688,182773,-2918.0,9
56689,182950,-1992.0,10
56690,183139,-1286.0,9
56691,183359,-1492.0,9
56692,184320,-6984.0,10
56693,185248,-8895.0,9
56694,186209,-10729.0,10
56695,187170,-8514.0,10
56696,188131,-13673.0,10
56697,189092,-4120.0,10
56698,189549,-3048.0,10
56699,189796,-1680.0,9
56700,190757,-3604.0,10
56701,191685,-8514.0,9
56702,191951,-1814.0,10
56703,192296,-2109.0,9
56704,192481,-1497.0,9
56705,192699,-1733.0,9
56706,193627,-5751.0,9
56707,194588,-8071.0,10
56708,194889,-2372.0,10
56709,195146,-1990.0,10
56710,195366,-1971.0,9
56711,196327,-13539.0,10
56712,197288,-4206.0,10
56713,198216,-4116.0,9
56714,199144,-6460.0,9
56715,200105,-10079.0,10
56716,201066,-5237.0,10
56717,201345,-2005.0,9
56718,202273,-4761.0,9
56719,202596,-2032.0,9
56720,203557,-6041.0,10
56721,204518,-3917.0,10
56722,205446,-6148.0,9
56723,206407,-5699.0,10
56724,207335,-4699.0,9
56725,208296,-3764.0,10
56726,209257,-3474.0,10
56727,210185,-3478.0,9
56728,210362,-1334.0,9
56729,210635,-1911.0,9
56730,211596,-4553.0,10
56731,211885,-1923.0,9
56732,212813,-7344.0,9
56733,213774,-6699.0,10
56734,213977,-2038.0,10
56735,214938,-5232.0,10
56736,215899,-4564.0,10
56737,216827,-9959.0,9
56738,217755,-7191.0,9
56739,218683,-3025.0,9
56740,219644,-8130.0,10
56741,220572,-4796.0,9
56742,221533,-3710.0,10
56743,221862,-2778.0,10
56744,222061,-1560.0,10
56745,222268,-1767.0,10
56746,223229,-11873.0,10
56747,223599,-2412.0,10
56748,223843,-2068.0,10
56749,224100,-1702.0,10
56750,224361,-2071.0,9
56751,225289,-5409.0,9
56752,225529,-2014.0,10
56753,225800,-1825.0,9
56754,226063,-2185.0,10
56755,226323,-2122.0,9
56756,227284,-11047.0,10
56757,228245,-8808.0,10
56758,229173,-8808.0,9
56759,229403,-2058.0,10
56760,229656,-2146.0,10
56761,229830,-1394.0,9
56762,230758,-3971.0,9
56763,230920,-1320.0,10
56764,231881,-8716.0,10
56765,232090,-1787.0,10
56766,233051,-11770.0,10
56767,233979,-4267.0,9
56768,234907,-5738.0,9
56769,235115,-1793.0,10
56770,235335,-1880.0,9
56771,236296,-3280.0,10
56772,236445,-1313.0,9
56773,237406,-8758.0,10
56774,237641,-1628.0,9
56775,238602,-11194.0,10
56776,238856,-1592.0,9
56777,239082,-1978.0,9
56778,240043,-10234.0,10
56779,241004,-10331.0,10
56780,241932,-8936.0,9
56781,242099,-1444.0,9
56782,243027,-3346.0,9
56783,243271,-2034.0,9
56784,244232,-5045.0,10
56785,244382,-1420.0,10
56786,245343,-8330.0,10
56787,246304,-5281.0,10
56788,246501,-2004.0,10
56789,247462,-8294.0,10
56790,248423,-9222.0,10
56791,249351,-10471.0,9
56792,250312,-7066.0,10
56793,250481,-1431.0,9
56794,251409,-3392.0,9
56795,252337,-6579.0,9
56796,252556,-2038.0,9
56797,253484,-5538.0,9
56798,254412,-4331.0,9
56799,255373,-7586.0,10
56800,256301,-3499.0,9
56801,257229,-5196.0,9
